,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fire,average,max,min,range,rel_range,upside,final
370,Chris Hogan,WR,3000,Hou@Buf 01:00PM ET,7.051,Buf,5.0,2.8,6.7,2.3,5.87,3.621,4.381833333,6.7,2.3,4.4,1.004145905,2.318166667,2.2
371,Corey Brown,WR,3000,Car@NO 04:25PM ET,6.8,Car,,6.5,6.4,12.9,5.1,,7.725,12.9,5.1,7.8,1.009708738,5.175,
372,Jay Ajayi,RB,3000,Bal@Mia 01:00PM ET,6.075,Mia,4.5,2.6,5.59,2.7,8.18,6.005,4.929166667,8.18,2.6,5.58,1.132037194,3.250833333,3.2
373,Chris Conley,WR,3000,KC@Oak 04:05PM ET,3.518,KC,4.0,1.4,2.9,1.9,3.2,3.493,2.8155,4.0,1.4,2.6,0.923459421,1.1845,
374,Quinton Patton,WR,3000,SF@Chi 01:00PM ET,4.682,SF,4.5,,4.0,,4.26,4.423,4.29575,4.5,4.0,0.5,0.11639411,0.20425,
375,Quan Bray,WR,3000,Ind@Pit 08:30PM ET,0.0,Ind,,,,,,,,,,,,,
376,Tre Mason,RB,3000,Ari@StL 01:00PM ET,4.013,StL,1.5,4.1,2.7,4.0,4.27,2.589,3.193166667,4.27,1.5,2.77,0.867477426,1.076833333,4.3
377,Sammie Coates,WR,3000,Ind@Pit 08:30PM ET,0.3,Pit,,1.6,,1.9,,1.414,1.638,1.9,1.414,0.486,0.296703297,0.262,
378,Ka'Deem Carey,RB,3000,SF@Chi 01:00PM ET,1.767,Chi,,2.8,,3.6,,1.357,2.585666667,3.6,1.357,2.243,0.867474539,1.014333333,7.7
379,Tre McBride,WR,3000,Jax@Ten 01:00PM ET,0.0,Ten,,,,,,,,,,,,,
380,Phillip Dorsett,WR,3000,Ind@Pit 08:30PM ET,4.729,Ind,,3.4,,,,,3.4,3.4,3.4,0.0,0.0,0.0,
381,Rashad Ross,WR,3000,Dal@Was 08:30PM ET,2.325,Was,,,,,,,,,,,,,
382,Marqise Lee,WR,3000,Jax@Ten 01:00PM ET,2.52,Jax,7.0,9.2,5.38,8.4,9.11,7.408,7.749666667,9.2,5.38,3.82,0.492924427,1.450333333,3.1
383,Adam Humphries,WR,3000,Atl@TB 01:00PM ET,4.475,TB,5.0,,5.73,,3.81,,4.846666667,5.73,3.81,1.92,0.396148556,0.883333333,
384,Bruce Ellington,WR,3000,SF@Chi 01:00PM ET,1.638,SF,,2.9,3.17,2.4,2.82,,2.8225,3.17,2.4,0.77,0.272807795,0.3475,
385,Tyler Lockett,WR,3000,Sea@Min 01:00PM ET,8.382,Sea,8.0,3.2,8.93,2.6,9.21,3.844,5.964,9.21,2.6,6.61,1.108316566,3.246,16.7
386,Bradley Marquez,WR,3000,Ari@StL 01:00PM ET,1.0,StL,,,3.28,,5.15,,4.215,5.15,3.28,1.87,0.443653618,0.935,4.6
387,Rashad Greene,WR,3000,Jax@Ten 01:00PM ET,6.1,Jax,,,,,6.49,,6.49,6.49,6.49,0.0,0.0,0.0,9.5
388,Akeem Hunt,RB,3000,Hou@Buf 01:00PM ET,1.95,Hou,,,,,1.73,,1.73,1.73,1.73,0.0,0.0,0.0,
389,Raheem Mostert,RB,3000,Bal@Mia 01:00PM ET,0.0,Bal,,,,,,,,,,,,,
390,Chuck Jacobs,WR,3000,Bal@Mia 01:00PM ET,0.0,Bal,,,,,,,,,,,,,
391,Jeremy Butler,WR,3000,Bal@Mia 01:00PM ET,5.767,Bal,,,7.89,,5.84,,6.865,7.89,5.84,2.05,0.298616169,1.025,8.3
392,De'Anthony Thomas,WR,3000,KC@Oak 04:05PM ET,4.54,KC,,13.7,,,,,13.7,13.7,13.7,0.0,0.0,0.0,
393,Bishop Sankey,RB,3000,Jax@Ten 01:00PM ET,4.767,Ten,,1.8,,2.3,,1.931,2.010333333,2.3,1.8,0.5,0.248714973,0.289666667,
394,Cody Latimer,WR,3000,Den@SD 04:05PM ET,1.84,Den,2.5,1.4,5.01,1.8,,,2.6775,5.01,1.4,3.61,1.348272642,2.3325,
395,Brittan Golden,WR,3000,Ari@StL 01:00PM ET,0.0,Ari,,,,,,,,,,,,,
396,Tyrell Williams,WR,3000,Den@SD 04:05PM ET,0.0,SD,,,,,,,,,,,,,
397,Cordarrelle Patterson,WR,3000,Sea@Min 01:00PM ET,0.955,Min,,4.4,,5.2,,,4.8,5.2,4.4,0.8,0.166666667,0.4,
398,Trey Williams,RB,3000,Dal@Was 08:30PM ET,0.0,Dal,,,,,,,,,,,,,
399,Chris Harper,WR,3000,Phi@NE 04:25PM ET,-0.333,NE,,,,,,,,,,,,,
400,Damien Williams,RB,3000,Bal@Mia 01:00PM ET,2.182,Mia,,1.7,,2.3,,,2.0,2.3,1.7,0.6,0.3,0.3,1.6
401,Cameron Artis-Payne,RB,3000,Car@NO 04:25PM ET,0.775,Car,,2.2,,2.9,,,2.55,2.9,2.2,0.7,0.274509804,0.35,
402,Lucky Whitehead,WR,3000,Dal@Was 08:30PM ET,0.86,Dal,,,,,,,,,,,,,5.0
403,Jaelen Strong,WR,3000,Hou@Buf 01:00PM ET,4.16,Hou,,6.4,3.23,7.0,,2.76,4.8475,7.0,2.76,4.24,0.874677669,2.1525,
404,Adam Thielen,WR,3000,Sea@Min 01:00PM ET,2.0,Min,,,,,,,,,,,,,
405,Mario Alford,WR,3000,Cin@Cle 01:00PM ET,0.0,Cin,,,,,,,,,,,,,2.5
406,Taylor Gabriel,WR,3000,Cin@Cle 01:00PM ET,4.93,Cle,,3.6,,,,,3.6,3.6,3.6,0.0,0.0,0.0,
407,Donteea Dye,WR,3000,Atl@TB 01:00PM ET,2.52,TB,,,,,,2.653,2.653,2.653,2.653,0.0,0.0,0.0,
408,Owen Daniels,TE,2900,Den@SD 04:05PM ET,8.2,Den,4.5,11.2,4.93,12.1,6.24,8.122,7.848666667,12.1,4.5,7.6,0.968317336,4.251333333,3.3
409,Rams ,DST,2800,Ari@StL 01:00PM ET,8.909,StL,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,0.0,0.0,0.0,
410,Steelers ,DST,2800,Ind@Pit 08:30PM ET,7.727,Pit,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,0.0,0.0,0.0,
411,Jets ,DST,2700,NYJ@NYG 01:00PM ET,7.182,NYJ,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,0.0,0.0,0.0,
412,Jaguars ,DST,2700,Jax@Ten 01:00PM ET,6.0,Jax,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,0.0,0.0,8.88e-16,
413,Jared Cook,TE,2700,Ari@StL 01:00PM ET,6.264,StL,8.0,3.8,5.83,3.8,6.95,5.243,5.603833333,8.0,3.8,4.2,0.749486958,2.396166667,5.2
414,Bills ,DST,2600,Hou@Buf 01:00PM ET,6.636,Buf,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,0.0,0.0,0.0,
415,Bears ,DST,2600,SF@Chi 01:00PM ET,5.364,Chi,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,
416,Cowboys ,DST,2600,Dal@Was 08:30PM ET,5.545,Dal,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,0.0,0.0,-8.88e-16,
417,Titans ,DST,2600,Jax@Ten 01:00PM ET,6.727,Ten,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,0.0,0.0,0.0,
418,Vikings ,DST,2600,Sea@Min 01:00PM ET,7.909,Min,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,0.0,0.0,0.0,
419,Ravens ,DST,2600,Bal@Mia 01:00PM ET,7.455,Bal,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,0.0,0.0,0.0,
420,Lance Kendricks,TE,2600,Ari@StL 01:00PM ET,4.71,StL,,2.8,5.45,2.3,4.08,2.699,3.4658,5.45,2.3,3.15,0.908881066,1.9842,
421,Zach Ertz,TE,2600,Phi@NE 04:25PM ET,7.74,Phi,7.5,10.4,6.14,10.5,10.49,6.193,8.537166667,10.5,6.14,4.36,0.51070808,1.962833333,8.9
422,Texans ,DST,2500,Hou@Buf 01:00PM ET,7.636,Hou,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,0.0,0.0,-8.88e-16,
423,Giants ,DST,2500,NYJ@NYG 01:00PM ET,8.818,NYG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,
424,Buccaneers ,DST,2500,Atl@TB 01:00PM ET,8.182,TB,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,0.0,0.0,8.88e-16,
425,Mike Leach,TE,2500,Ari@StL 01:00PM ET,0.0,Ari,,,,,,,,,,,,,
426,Craig Stevens,TE,2500,Jax@Ten 01:00PM ET,2.155,Ten,,,,,1.95,2.268,2.109,2.268,1.95,0.318,0.150782361,0.159,9.1
427,Marcedes Lewis,TE,2500,Jax@Ten 01:00PM ET,2.1,Jax,,6.0,3.08,5.9,4.35,1.679,4.2018,6.0,1.679,4.321,1.028368794,1.7982,1.7
428,Scott Chandler,TE,2500,Phi@NE 04:25PM ET,5.164,NE,14.5,13.6,11.62,13.6,12.04,7.707,12.17783333,14.5,7.707,6.793,0.557816798,2.322166667,16.1
429,Matt Spaeth,TE,2500,Ind@Pit 08:30PM ET,0.375,Pit,,,,,2.7,1.397,2.0485,2.7,1.397,1.303,0.636075177,0.6515,
430,Clark Harris,TE,2500,Cin@Cle 01:00PM ET,0.0,Cin,,,,,,,,,,,,,
431,Anthony Fasano,TE,2500,Jax@Ten 01:00PM ET,5.245,Ten,,4.4,4.22,4.4,4.4,5.02,4.488,5.02,4.22,0.8,0.178253119,0.532,
432,Kellen Davis,TE,2500,NYJ@NYG 01:00PM ET,0.645,NYJ,,,4.32,,1.71,,3.015,4.32,1.71,2.61,0.865671642,1.305,1.8
433,Brandon Myers,TE,2500,Atl@TB 01:00PM ET,2.245,TB,,2.8,2.2,3.2,,3.138,2.8345,3.2,2.2,1.0,0.352795908,0.3655,
434,Darren Fells,TE,2500,Ari@StL 01:00PM ET,5.5,Ari,2.0,2.0,4.92,1.9,3.43,8.196,3.741,8.196,1.9,6.296,1.682972467,4.455,3.2
435,Tony Moeaki,TE,2500,Atl@TB 01:00PM ET,0.3,Atl,,,,,,2.061,2.061,2.061,2.061,0.0,0.0,0.0,
436,Clay Harbor,TE,2500,Jax@Ten 01:00PM ET,2.63,Jax,,6.2,,6.0,1.04,,4.413333333,6.2,1.04,5.16,1.16918429,1.786666667,
437,Ed Dickson,TE,2500,Car@NO 04:25PM ET,2.909,Car,2.0,4.0,4.23,4.3,2.56,2.285,3.229166667,4.3,2.0,2.3,0.712258065,1.070833333,5.7
438,Garrett Graham,TE,2500,Hou@Buf 01:00PM ET,1.625,Hou,,4.6,,5.9,,,5.25,5.9,4.6,1.3,0.247619048,0.65,
439,Andrew DePaola,TE,2500,Atl@TB 01:00PM ET,0.0,TB,,,,,,,,,,,,,
440,Jim Dray,TE,2500,Cin@Cle 01:00PM ET,0.845,Cle,,,4.47,,,1.097,2.7835,4.47,1.097,3.373,1.211783726,1.6865,
441,Virgil Green,TE,2500,Den@SD 04:05PM ET,2.536,Den,,5.0,3.72,5.0,,1.09,3.7025,5.0,1.09,3.91,1.056043214,1.2975,3.2
442,John Phillips,TE,2500,Den@SD 04:05PM ET,1.745,SD,,,,,,,,,,,,,1.8
443,Richard Gordon,TE,2500,Den@SD 04:05PM ET,0.0,Den,,,,,,,,,,,,,
444,Kyle Nelson,TE,2500,SF@Chi 01:00PM ET,0.0,SF,,,,,,,,,,,,,
445,Matthew Mulligan,TE,2500,Hou@Buf 01:00PM ET,0.109,Buf,,,,,,,,,,,,,
446,Jermaine Gresham,TE,2500,Ari@StL 01:00PM ET,3.336,Ari,4.0,3.8,3.53,3.8,4.91,4.11,4.025,4.91,3.53,1.38,0.342857143,0.885,2.3
447,Jeff Cumberland,TE,2500,NYJ@NYG 01:00PM ET,1.27,NYJ,1.5,4.0,,4.6,,1.892,2.998,4.6,1.5,3.1,1.034022682,1.602,
448,Michael Hoomanawanui,TE,2500,Car@NO 04:25PM ET,2.511,NO,,,,,2.47,1.581,2.0255,2.47,1.581,0.889,0.438903974,0.4445,2.9
449,Lee Smith,TE,2500,KC@Oak 04:05PM ET,1.48,Oak,,,3.72,,1.86,,2.79,3.72,1.86,1.86,0.666666667,0.93,7.5
450,Luke Stocker,TE,2500,Atl@TB 01:00PM ET,0.578,TB,,,,,,,,,,,,,1.4
451,Jordan Cameron,TE,2500,Bal@Mia 01:00PM ET,6.109,Mia,7.5,10.6,6.43,10.5,7.97,6.686,8.281,10.6,6.43,4.17,0.503562372,2.319,1.4
452,Rhett Ellison,TE,2500,Sea@Min 01:00PM ET,2.35,Min,,,4.45,,2.06,2.937,3.149,4.45,2.06,2.39,0.758971102,1.301,
453,Patrick Scales,TE,2500,SF@Chi 01:00PM ET,0.0,Chi,,,,,,,,,,,,,
454,Larry Donnell,TE,2500,NYJ@NYG 01:00PM ET,7.913,NYG,,,,,,,,,,,,,
455,Garrett Celek,TE,2500,SF@Chi 01:00PM ET,5.055,SF,,2.8,,,,,2.8,2.8,2.8,0.0,0.0,0.0,
456,James Hanna,TE,2500,Dal@Was 08:30PM ET,0.478,Dal,,,,,,,,,,,,,2.1
457,Jake Stoneburner,TE,2500,Bal@Mia 01:00PM ET,3.617,Mia,,1.2,7.51,1.7,,1.052,2.8655,7.51,1.052,6.458,2.253707904,4.6445,
458,Mychal Rivera,TE,2500,KC@Oak 04:05PM ET,3.691,Oak,4.5,10.8,4.63,5.8,4.84,5.195,5.960833333,10.8,4.5,6.3,1.056899203,4.839166667,3.3
459,Cory Harkey,TE,2500,Ari@StL 01:00PM ET,0.364,StL,,,,,,,,,,,,,1.4
460,Beau Brinkley,TE,2500,Jax@Ten 01:00PM ET,0.0,Ten,,,,,,,,,,,,,
461,Dwayne Allen,TE,2500,Ind@Pit 08:30PM ET,3.122,Ind,2.5,11.2,5.89,11.9,5.4,1.891,6.4635,11.9,1.891,10.009,1.548541812,5.4365,1.6
462,Kevin McDermott,TE,2500,Sea@Min 01:00PM ET,0.0,Min,,,,,,,,,,,,,
463,Ryan Griffin,TE,2500,Hou@Buf 01:00PM ET,7.3,Hou,6.0,3.4,4.47,4.1,6.64,3.172,4.630333333,6.64,3.172,3.468,0.748974156,2.009666667,11.9
464,Michael Williams,TE,2500,Phi@NE 04:25PM ET,0.39,NE,,,,,2.1,,2.1,2.1,2.1,0.0,0.0,0.0,
465,Chris Gragg,TE,2500,Hou@Buf 01:00PM ET,2.3,Buf,,3.2,,3.4,,2.197,2.932333333,3.4,2.197,1.203,0.410253496,0.467666667,
466,Luke Willson,TE,2500,Sea@Min 01:00PM ET,3.32,Sea,6.5,2.6,7.46,2.3,6.69,5.171,5.120166667,7.46,2.3,5.16,1.007779695,2.339833333,5.6
467,Josh Hill,TE,2500,Car@NO 04:25PM ET,2.791,NO,,1.4,6.67,1.6,3.7,1.569,2.9878,6.67,1.4,5.27,1.763839614,3.6822,3.1
468,James Winchester,TE,2500,KC@Oak 04:05PM ET,0.0,KC,,,,,,,,,,,,,
469,Jack Doyle,TE,2500,Ind@Pit 08:30PM ET,1.927,Ind,,,,,1.08,,1.08,1.08,1.08,0.0,0.0,0.0,
470,Ryan Hewitt,TE,2500,Cin@Cle 01:00PM ET,1.127,Cin,,,2.54,,2.61,,2.575,2.61,2.54,0.07,0.027184466,0.035,
471,Levine Toilolo,TE,2500,Atl@TB 01:00PM ET,1.055,Atl,,4.8,5.57,5.2,,1.885,4.36375,5.57,1.885,3.685,0.844457176,1.20625,
472,Gabe Holmes,TE,2500,KC@Oak 04:05PM ET,0.0,Oak,,,,,,,,,,,,,
473,Gavin Escobar,TE,2500,Dal@Was 08:30PM ET,1.764,Dal,2.0,10.8,3.88,10.3,2.1,1.651,5.121833333,10.8,1.651,9.149,1.786274446,5.678166667,
474,Dion Sims,TE,2500,Bal@Mia 01:00PM ET,2.525,Mia,,1.6,4.75,1.8,2.08,2.356,2.5172,4.75,1.6,3.15,1.251390434,2.2328,1.4
475,Jerome Cunningham,TE,2500,NYJ@NYG 01:00PM ET,2.025,NYG,,,,,3.18,,3.18,3.18,3.18,0.0,0.0,0.0,
476,Nic Jacobs,TE,2500,Jax@Ten 01:00PM ET,0.16,Jax,,,,,,,,,,,,,
477,Brandon Williams,TE,2500,Bal@Mia 01:00PM ET,0.0,Mia,,,,,,,,,,,,,
478,Cooper Helfet,TE,2500,Sea@Min 01:00PM ET,0.189,Sea,,,,,2.37,,2.37,2.37,2.37,0.0,0.0,0.0,2.3
479,Trey Burton,TE,2500,Phi@NE 04:25PM ET,0.627,Phi,,,,,,,,,,,,,
480,Blake Bell,TE,2500,SF@Chi 01:00PM ET,1.6,SF,,,3.34,,3.57,,3.455,3.57,3.34,0.23,0.066570188,0.115,
481,Je'Ron Hamm,TE,2500,Dal@Was 08:30PM ET,0.0,Was,,,,,,,,,,,,,
482,MyCole Pruitt,TE,2500,Sea@Min 01:00PM ET,1.082,Min,,,,1.6,1.22,,1.41,1.6,1.22,0.38,0.269503546,0.19,
483,Cameron Brate,TE,2500,Atl@TB 01:00PM ET,5.6,TB,4.5,,4.3,,,3.77,4.19,4.5,3.77,0.73,0.174224344,0.31,3.2
484,Will Tye,TE,2500,NYJ@NYG 01:00PM ET,5.325,NYG,6.0,,,,9.53,7.454,7.661333333,9.53,6.0,3.53,0.460755308,1.868666667,10.0
485,Chase Ford,TE,2500,Bal@Mia 01:00PM ET,0.0,Bal,,,,,,,,,,,,,
486,Clive Walford,TE,2500,KC@Oak 04:05PM ET,4.191,Oak,4.0,1.2,4.32,1.6,4.41,3.022,3.092,4.41,1.2,3.21,1.038163001,1.318,10.3
487,C.J. Fiedorowicz,TE,2500,Hou@Buf 01:00PM ET,2.9,Hou,,2.2,3.59,2.3,1.85,4.628,2.9136,4.628,1.85,2.778,0.953459638,1.7144,1.8
488,Asante Cleveland,TE,2500,Phi@NE 04:25PM ET,1.1,NE,,,2.7,,4.22,,3.46,4.22,2.7,1.52,0.439306358,0.76,
489,Brian Parker,TE,2500,KC@Oak 04:05PM ET,0.4,KC,,,,,,,,,,,,,
490,Scott Simonson,TE,2500,Car@NO 04:25PM ET,0.0,Car,,,,,,,,,,,,,
491,Tyler Kroft,TE,2500,Cin@Cle 01:00PM ET,0.127,Cin,4.5,1.2,7.17,1.7,6.53,5.856,4.492666667,7.17,1.2,5.97,1.328832171,2.677333333,2.7
492,C.J. Uzomah,TE,2500,Cin@Cle 01:00PM ET,0.0,Cin,,,,,1.42,,1.42,1.42,1.42,0.0,0.0,0.0,
493,Austin Seferian-Jenkins,TE,2500,Atl@TB 01:00PM ET,17.95,TB,2.0,18.6,9.76,16.4,9.84,8.376,10.82933333,18.6,2.0,16.6,1.532873676,7.770666667,6.1
494,Demetrius Harris,TE,2500,KC@Oak 04:05PM ET,0.736,KC,,,,,,,,,,,,,
495,Nick Boyle,TE,2500,Bal@Mia 01:00PM ET,3.08,Bal,,2.4,4.55,2.4,4.49,,3.46,4.55,2.4,2.15,0.621387283,1.09,4.5
496,Troy Niklas,TE,2500,Ari@StL 01:00PM ET,1.591,Ari,,,,,,3.269,3.269,3.269,3.269,0.0,0.0,0.0,
497,Phillip Supernaw,TE,2500,Jax@Ten 01:00PM ET,0.236,Ten,,,,,,,,,,,,,
498,Maxx Williams,TE,2500,Bal@Mia 01:00PM ET,4.18,Bal,,5.8,,,,,5.8,5.8,5.8,0.0,0.0,0.0,
499,Jesse James,TE,2500,Ind@Pit 08:30PM ET,4.767,Pit,6.0,,7.42,,7.53,5.736,6.6715,7.53,5.736,1.794,0.268905044,0.8585,6.0
500,Derek Carrier,TE,2500,Dal@Was 08:30PM ET,3.218,Was,,2.6,4.39,2.2,2.74,3.666,3.1192,4.39,2.2,2.19,0.702103103,1.2708,
501,Geoff Swaim,TE,2500,Dal@Was 08:30PM ET,0.5,Dal,,,,,,,,,,,,,
502,E.J. Bibbs,TE,2500,Cin@Cle 01:00PM ET,0.0,Cle,,,,,,,,,,,,,
503,Khari Lee,TE,2500,SF@Chi 01:00PM ET,0.155,Chi,,,,,,,,,,,,,
504,Browns ,DST,2300,Cin@Cle 01:00PM ET,6.0,Cle,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,0.0,0.0,0.0,
505,Raiders ,DST,2300,KC@Oak 04:05PM ET,5.818,Oak,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,0.0,0.0,-4.44e-16,
506,Dolphins ,DST,2300,Bal@Mia 01:00PM ET,5.909,Mia,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,
507,Eagles ,DST,2300,Phi@NE 04:25PM ET,8.0,Phi,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,0.0,0.0,-4.44e-16,
508,Chargers ,DST,2300,Den@SD 04:05PM ET,3.909,SD,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,0.0,0.0,-4.44e-16,
509,Redskins ,DST,2300,Dal@Was 08:30PM ET,7.727,Was,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,0.0,0.0,0.0,
510,Colts ,DST,2200,Ind@Pit 08:30PM ET,7.091,Ind,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,0.0,0.0,0.0,
511,49ers ,DST,2100,SF@Chi 01:00PM ET,4.0,SF,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,0.0,0.0,0.0,
512,Saints ,DST,2000,Car@NO 04:25PM ET,4.727,NO,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,0.0,0.0,0.0,
