,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,final
137,Andre Johnson,WR,4300,NE@Ind 08:30PM ET,7.56,Ind,4.5,5.0,11.63,4.5,10.07,10.82,9.017,
138,Anquan Boldin,WR,4300,Bal@SF 04:25PM ET,12.22,SF,21.0,17.6,12.28,16.8,12.91,14.61,11.672,18.2
139,Rashad Jennings,RB,4300,NYG@Phi 08:30PM ET,10.44,NYG,7.5,11.0,10.99,11.0,9.19,9.67,12.549,10.3
140,Kamar Aiken,WR,4300,Bal@SF 04:25PM ET,8.86,Bal,13.0,0.6,11.12,3.3,13.05,11.78,11.188,11.2
141,Charles Clay,TE,4300,Cin@Buf 01:00PM ET,12.64,Buf,16.0,14.0,8.42,15.0,9.63,9.61,9.793,15.2
142,Lamar Miller,RB,4300,Mia@Ten 01:00PM ET,7.95,Mia,7.0,7.9,10.28,8.8,13.55,16.25,13.13,
143,Javorius Allen,RB,4300,Bal@SF 04:25PM ET,3.0,Bal,4.0,4.0,7.63,5.0,9.82,5.37,4.859,
144,Davante Adams,WR,4300,SD@GB 04:25PM ET,6.067,GB,,14.6,8.2,14.3,,,5.04,
145,Torrey Smith,WR,4200,Bal@SF 04:25PM ET,8.94,SF,8.0,6.2,9.22,5.1,8.88,10.26,9.168,18.6
146,Shane Vereen,RB,4200,NYG@Phi 08:30PM ET,11.38,NYG,16.5,14.0,9.95,14.2,9.6,9.05,7.775,1.6
147,David Johnson,RB,4200,Ari@Pit 01:00PM ET,13.36,Ari,11.5,7.1,8.21,7.3,5.55,4.94,6.8242,2.7
148,Rishard Matthews,WR,4200,Mia@Ten 01:00PM ET,17.2,Mia,13.0,15.4,8.37,14.7,9.26,11.47,7.253,
149,Isaiah Crowell,RB,4200,Den@Cle 01:00PM ET,10.86,Cle,6.5,12.3,10.05,12.5,7.04,7.44,11.805,6.1
150,Doug Baldwin,WR,4100,Car@Sea 04:05PM ET,12.36,Sea,9.0,8.5,11.22,8.3,10.19,10.45,7.825,5.3
151,DeAngelo Williams,RB,4000,Ari@Pit 01:00PM ET,10.22,Pit,1.5,3.1,2.39,3.8,2.52,2.5,4.363,
152,Percy Harvin,WR,4000,Cin@Buf 01:00PM ET,9.98,Buf,8.0,10.8,8.29,9.8,9.72,10.43,8.1764,
153,Julius Thomas,TE,4000,Hou@Jax 01:00PM ET,4.0,Jax,8.0,15.8,12.34,15.9,10.32,7.51,7.459,20.8
154,Marquess Wilson,WR,4000,Chi@Det 01:00PM ET,8.88,Chi,5.0,4.2,7.75,4.1,4.48,8.8,9.697,7.4
155,Ameer Abdullah,RB,4000,Chi@Det 01:00PM ET,8.66,Det,9.5,5.0,12.42,4.9,10.2,9.33,12.9544,9.9
156,Martavis Bryant,WR,4000,Ari@Pit 01:00PM ET,0.0,Pit,6.0,8.2,7.13,7.2,8.95,7.07,9.959,35.5
157,Charcandrick West,RB,4000,KC@Min 01:00PM ET,1.54,KC,12.5,5.6,10.32,5.7,12.2,10.31,12.234,3.9
158,Jonathan Stewart,RB,3900,Car@Sea 04:05PM ET,7.3,Car,7.0,,8.68,,9.48,10.72,9.522,
159,Lorenzo Taliaferro,RB,3900,Bal@SF 04:25PM ET,6.2,Bal,,,,,,,,
160,Seahawks ,DST,3800,Car@Sea 04:05PM ET,12.8,Sea,,,,,,,,
161,Darren Sproles,RB,3800,NYG@Phi 08:30PM ET,10.3,Phi,6.0,11.4,9.98,12.3,8.44,7.98,10.943,1.7
162,Stevie Johnson,WR,3800,SD@GB 04:25PM ET,12.625,SD,2.0,5.8,9.39,5.9,,,8.1374,
163,Alfred Blue,RB,3800,Hou@Jax 01:00PM ET,7.36,Hou,,3.5,7.85,4.0,,,5.371,
164,Bishop Sankey,RB,3800,Mia@Ten 01:00PM ET,10.05,Ten,6.0,5.5,9.09,5.7,7.07,9.28,10.704,3.0
165,Broncos ,DST,3700,Den@Cle 01:00PM ET,17.2,Den,,,,,,,,
166,Cardinals ,DST,3600,Ari@Pit 01:00PM ET,13.2,Ari,,,,,,,,
167,Delanie Walker,TE,3600,Mia@Ten 01:00PM ET,11.567,Ten,16.0,18.6,7.8,17.3,9.77,9.67,7.485,17.7
168,Eddie Royal,WR,3600,Chi@Det 01:00PM ET,9.0,Chi,8.0,13.4,8.33,12.7,9.87,14.28,7.887,9.9
169,Alfred Morris,RB,3600,Was@NYJ 01:00PM ET,7.24,Was,12.0,5.1,7.49,5.6,8.09,2.57,10.269,4.2
170,Daniel Herron,RB,3600,Cin@Buf 01:00PM ET,2.8,Buf,4.0,3.1,6.61,3.4,4.85,7.67,4.15,
171,Jermaine Kearse,WR,3600,Car@Sea 04:05PM ET,10.28,Sea,7.5,10.0,7.73,9.1,9.24,8.13,7.327,
172,Jamison Crowder,WR,3600,Was@NYJ 01:00PM ET,9.12,Was,7.0,10.5,7.52,10.4,10.47,10.83,8.1984,8.0
173,Nelson Agholor,WR,3600,NYG@Phi 08:30PM ET,3.5,Phi,,5.0,6.26,,,,7.155,
174,Matt Jones,RB,3600,Was@NYJ 01:00PM ET,9.8,Was,7.0,11.0,6.74,13.1,5.67,6.53,9.513,
175,Reggie Bush,RB,3500,Bal@SF 04:25PM ET,0.767,SF,,4.3,,6.9,,3.88,3.516,
176,Darrius Heyward-Bey,WR,3500,Ari@Pit 01:00PM ET,9.98,Pit,2.0,9.4,5.1,8.7,2.57,2.69,,
177,Bilal Powell,RB,3500,Was@NYJ 01:00PM ET,8.975,NYJ,5.5,6.6,10.96,6.8,7.69,4.42,6.6728,
178,Ryan Mathews,RB,3500,NYG@Phi 08:30PM ET,10.84,Phi,4.5,9.3,12.12,8.7,4.65,4.38,8.554,5.6
179,Marvin Jones,WR,3500,Cin@Buf 01:00PM ET,10.1,Cin,10.5,8.2,8.69,7.1,9.4,9.6,9.219,24.5
180,Kyle Juszczyk,RB,3500,Bal@SF 04:25PM ET,4.86,Bal,,,3.45,,3.54,3.83,1.183,4.2
181,Ty Montgomery,WR,3500,SD@GB 04:25PM ET,7.7,GB,7.0,11.6,9.38,10.8,9.52,10.98,4.81,3.5
182,Stefon Diggs,WR,3500,KC@Min 01:00PM ET,14.7,Min,8.0,7.0,3.6,6.5,1.22,6.98,,
183,Ravens ,DST,3400,Bal@SF 04:25PM ET,6.8,Bal,,,,,,,,
184,Ted Ginn Jr.,WR,3400,Car@Sea 04:05PM ET,12.65,Car,9.5,8.8,10.7,7.4,9.21,7.29,12.033,
185,Malcom Floyd,WR,3400,SD@GB 04:25PM ET,7.7,SD,8.0,8.6,6.17,7.3,8.54,11.86,7.183,14.5
186,Danny Amendola,WR,3400,NE@Ind 08:30PM ET,6.525,NE,7.0,7.6,10.34,7.8,7.87,10.97,3.808,20.5
187,Joique Bell,RB,3400,Chi@Det 01:00PM ET,5.767,Det,3.5,5.2,6.01,6.2,7.15,8.47,5.4344,
188,Antonio Andrews,RB,3400,Mia@Ten 01:00PM ET,13.75,Ten,13.0,12.6,7.52,13.2,8.06,3.0,6.1764,3.5
189,James Starks,RB,3300,SD@GB 04:25PM ET,6.68,GB,4.5,2.4,8.08,2.9,7.07,9.57,7.7802,27.7
190,Boobie Dixon,RB,3300,Cin@Buf 01:00PM ET,3.38,Buf,,,,,3.93,6.28,,
191,Charles Johnson,WR,3300,KC@Min 01:00PM ET,3.533,Min,4.5,6.9,6.13,6.5,8.48,0.53,5.448,
192,Dontrelle Inman,WR,3300,SD@GB 04:25PM ET,2.95,SD,,1.6,,1.8,5.91,1.68,3.676,10.8
193,Markus Wheaton,WR,3300,Ari@Pit 01:00PM ET,7.96,Pit,7.0,3.7,4.84,2.9,4.77,9.72,7.795,1.8
194,Theo Riddick,RB,3300,Chi@Det 01:00PM ET,12.96,Det,,5.5,6.08,5.8,9.65,6.34,5.006,10.8
195,Chris Thompson,RB,3300,Was@NYJ 01:00PM ET,9.24,Was,7.5,3.0,7.01,3.9,8.21,7.38,3.591,9.8
196,Chris Hogan,WR,3300,Cin@Buf 01:00PM ET,7.792,Buf,5.0,2.8,5.1,2.4,2.7,3.0,1.065,5.1
197,Terrance West,RB,3300,Mia@Ten 01:00PM ET,1.55,Ten,,1.1,,1.0,,0.13,1.311,
198,Eric Ebron,TE,3300,Chi@Det 01:00PM ET,11.225,Det,,,,,,,8.879,
199,Bills ,DST,3200,Cin@Buf 01:00PM ET,7.4,Buf,,,,,,,,
200,Packers ,DST,3200,SD@GB 04:25PM ET,11.4,GB,,,,,,,,
201,Miles Austin,WR,3200,NYG@Phi 08:30PM ET,3.46,Phi,2.0,3.2,5.01,2.6,4.39,0.59,3.507,9.0
202,Ladarius Green,TE,3200,SD@GB 04:25PM ET,13.35,SD,8.5,14.0,6.79,13.0,7.22,5.15,4.087,12.5
203,Mohamed Sanu,WR,3200,Cin@Buf 01:00PM ET,7.52,Cin,6.5,10.3,7.13,10.3,7.22,5.97,5.699,5.8
204,Joshua Bellamy,WR,3200,Chi@Det 01:00PM ET,4.18,Chi,,,,,,3.97,2.811,
205,Keith Mumphery,WR,3200,Hou@Jax 01:00PM ET,4.04,Hou,,3.2,,3.6,6.42,2.57,4.018,
206,Cecil Shorts III,WR,3200,Hou@Jax 01:00PM ET,12.65,Hou,8.0,9.4,7.92,8.7,8.9,9.43,10.8992,
207,Tyler Lockett,WR,3200,Car@Sea 04:05PM ET,7.38,Sea,6.0,3.5,6.08,3.8,8.0,6.65,4.187,
208,Patriots ,DST,3100,NE@Ind 08:30PM ET,9.25,NE,,,,,,,,
209,Jets ,DST,3100,Was@NYJ 01:00PM ET,10.5,NYJ,,,,,,,,
210,Heath Miller,TE,3100,Ari@Pit 01:00PM ET,8.06,Pit,6.0,10.8,5.87,11.4,6.85,9.71,8.477,1.5
211,Nate Washington,WR,3100,Hou@Jax 01:00PM ET,9.25,Hou,,,8.09,,,,8.1828,
212,Dwayne Harris,WR,3100,NYG@Phi 08:30PM ET,6.08,NYG,5.0,7.2,4.57,6.6,8.46,11.87,,3.8
213,Riley Cooper,WR,3100,NYG@Phi 08:30PM ET,5.38,Phi,5.0,3.2,5.0,2.6,6.51,12.19,6.025,16.6
214,Brenton Bersin,WR,3100,Car@Sea 04:05PM ET,5.85,Car,,,,,,,,
215,Zac Stacy,RB,3100,Was@NYJ 01:00PM ET,4.2,NYJ,,0.9,3.84,0.7,2.75,0.56,4.457,
216,Josh Huff,WR,3100,NYG@Phi 08:30PM ET,6.425,Phi,8.5,6.6,4.48,6.3,4.05,3.17,4.4524,4.9
217,Richard Rodgers,TE,3100,SD@GB 04:25PM ET,9.92,GB,8.0,15.8,7.75,14.9,9.93,8.44,7.348,5.4
218,Dorial Green-Beckham,WR,3100,Mia@Ten 01:00PM ET,4.625,Ten,4.5,5.6,7.09,4.8,3.0,3.2,3.874,8.7
219,Taylor Gabriel,WR,3100,Den@Cle 01:00PM ET,6.04,Cle,4.0,3.6,5.45,3.8,4.79,7.09,4.673,1.5
220,Texans ,DST,3000,Hou@Jax 01:00PM ET,2.4,Hou,,,,,,,,
221,Bengals ,DST,3000,Cin@Buf 01:00PM ET,7.6,Cin,,,,,,,,
222,Panthers ,DST,3000,Car@Sea 04:05PM ET,12.0,Car,,,,,,,,
223,Greg Jennings,WR,3000,Mia@Ten 01:00PM ET,3.1,Mia,2.5,6.8,3.55,7.4,4.11,8.58,5.179,
224,Lance Moore,WR,3000,Chi@Det 01:00PM ET,6.24,Det,5.0,1.6,5.02,1.8,7.05,8.81,5.601,24.6
225,Jason Avant,WR,3000,KC@Min 01:00PM ET,2.22,KC,2.0,5.0,4.88,5.5,1.17,0.62,3.522,1.4
226,Vernon Davis,TE,3000,Bal@SF 04:25PM ET,6.3,SF,4.0,6.8,7.52,6.4,8.28,5.12,5.514,
227,Andre Caldwell,WR,3000,Den@Cle 01:00PM ET,0.78,Den,2.5,5.6,2.85,5.8,,0.11,2.205,3.8
228,Dwayne Bowe,WR,3000,Den@Cle 01:00PM ET,0.0,Cle,,1.4,,1.7,,0.86,3.048,
229,Harry Douglas,WR,3000,Mia@Ten 01:00PM ET,5.1,Ten,6.0,9.4,5.75,8.7,5.82,10.22,5.39,2.1
230,Matthew Slater,WR,3000,NE@Ind 08:30PM ET,0.0,NE,,,,,,0.3,,
231,Jerricho Cotchery,WR,3000,Car@Sea 04:05PM ET,8.3,Car,4.0,4.2,7.66,4.1,6.87,8.62,4.7142,
232,Jerome Felton,RB,3000,Cin@Buf 01:00PM ET,0.04,Buf,,,1.02,,,,3.0924,
233,Cedric Peerman,RB,3000,Cin@Buf 01:00PM ET,0.0,Cin,,,,,,0.36,1.606,
234,Mike Tolbert,RB,3000,Car@Sea 04:05PM ET,4.1,Car,4.5,4.0,4.69,4.6,5.46,2.9,1.877,
235,Andrew Hawkins,WR,3000,Den@Cle 01:00PM ET,7.02,Cle,8.0,7.9,6.31,7.0,7.09,11.06,5.149,3.5
236,John Kuhn,RB,3000,SD@GB 04:25PM ET,1.64,GB,,0.5,3.3,0.4,1.74,1.25,1.723,4.0
237,Seyi Ajirotutu,WR,3000,NYG@Phi 08:30PM ET,0.0,Phi,,,,,,,,
238,Marlon Moore,WR,3000,Den@Cle 01:00PM ET,0.5,Cle,,,,,,,1.171,
239,Brandon Tate,WR,3000,Cin@Buf 01:00PM ET,2.5,Cin,,,,,,0.71,4.38,
240,Darrel Young,RB,3000,Was@NYJ 01:00PM ET,0.24,Was,,,2.16,,,,1.9546,1.8
241,Brian Hartline,WR,3000,Den@Cle 01:00PM ET,4.36,Cle,6.0,5.4,7.01,5.7,5.1,6.12,6.384,
242,Donald Brown,RB,3000,SD@GB 04:25PM ET,0.0,SD,,,,,,,,
243,Jordan Norwood,WR,3000,Den@Cle 01:00PM ET,3.62,Den,,3.8,3.93,3.9,5.63,8.25,4.254,0.9
244,Shaun Draughn,RB,3000,Den@Cle 01:00PM ET,0.775,Cle,,,2.35,,,0.44,,
245,Bruce Miller,RB,3000,Bal@SF 04:25PM ET,1.2,SF,,,3.27,,,0.34,,11.9
246,Marc Mariani,WR,3000,Chi@Det 01:00PM ET,0.0,Chi,,,,,,0.01,,
247,Bryan Walters,WR,3000,Hou@Jax 01:00PM ET,5.9,Jax,2.5,,,,6.5,8.11,1.123,16.7
248,Andre Roberts,WR,3000,Was@NYJ 01:00PM ET,2.6,Was,,5.7,,4.9,,4.84,,1.6
249,Jacoby Jones,WR,3000,SD@GB 04:25PM ET,0.0,SD,,6.6,,6.4,,3.3,,
250,Fred Jackson,RB,3000,Car@Sea 04:05PM ET,6.1,Sea,,2.6,,2.7,4.11,,7.524,2.7
251,Jeremy Ross,WR,3000,Bal@SF 04:25PM ET,4.4,Bal,,,,,,,1.103,
252,Toby Gerhart,RB,3000,Hou@Jax 01:00PM ET,0.333,Jax,4.0,3.5,6.85,3.7,9.82,3.15,7.992,7.9
253,Dexter McCluster,RB,3000,Mia@Ten 01:00PM ET,6.3,Ten,3.5,8.6,6.6,10.0,6.64,12.25,6.352,13.2
254,Fozzy Whittaker,RB,3000,Car@Sea 04:05PM ET,1.8,Car,,5.5,,6.2,1.9,0.07,1.739,
255,Marcus Easley,WR,3000,Cin@Buf 01:00PM ET,0.0,Buf,,,,,,,,
256,Matt Asiata,RB,3000,KC@Min 01:00PM ET,2.45,Min,,3.3,,3.6,2.28,1.53,2.643,
257,Denarius Moore,WR,3000,Cin@Buf 01:00PM ET,-1.0,Buf,,,,,,,,
258,Jordan Cameron,TE,3000,Mia@Ten 01:00PM ET,7.25,Mia,15.5,12.2,6.43,11.1,9.06,10.8,8.767,
259,Coby Fleener,TE,3000,NE@Ind 08:30PM ET,7.76,Ind,4.5,5.8,7.54,5.9,7.34,8.73,7.682,
260,Greg Little,WR,3000,Cin@Buf 01:00PM ET,0.0,Cin,,,,,,0.01,,
261,Jeremy Kerley,WR,3000,Was@NYJ 01:00PM ET,3.825,NYJ,,8.8,6.98,8.5,,0.43,2.913,
262,Anthony Sherman,RB,3000,KC@Min 01:00PM ET,0.2,KC,,,1.99,,,1.48,1.398,2.3
263,Will Tukuafu,RB,3000,Car@Sea 04:05PM ET,0.0,Sea,,,,,,,,
264,Robert Turbin,RB,3000,Den@Cle 01:00PM ET,0.0,Cle,,1.0,,0.7,2.42,,1.073,2.7
265,Will Johnson,RB,3000,Ari@Pit 01:00PM ET,1.34,Pit,,,2.61,,,,1.497,
266,Michael Floyd,WR,3000,Ari@Pit 01:00PM ET,3.68,Ari,6.5,8.0,9.19,8.0,9.21,8.43,4.556,16.0
267,Chris Polk,RB,3000,Hou@Jax 01:00PM ET,5.9,Hou,4.0,4.8,,5.7,3.49,4.23,4.154,
268,Jacquizz Rodgers,RB,3000,Chi@Det 01:00PM ET,1.22,Chi,,,,,,,,
269,Jarryd Hayne,RB,3000,Bal@SF 04:25PM ET,0.64,SF,2.5,0.5,3.96,0.5,,1.83,1.353,
270,Kenjon Barner,RB,3000,NYG@Phi 08:30PM ET,0.0,Phi,,,,,,0.03,,
271,Zach Line,RB,3000,KC@Min 01:00PM ET,3.05,Min,,,2.42,,,0.04,,
272,Chris Owusu,WR,3000,Was@NYJ 01:00PM ET,4.75,NYJ,,,,,,6.94,3.808,
273,Griff Whalen,WR,3000,NE@Ind 08:30PM ET,0.52,Ind,,,,,,0.37,1.122,
274,Derrick Coleman,RB,3000,Car@Sea 04:05PM ET,0.24,Sea,,,1.27,,,,,
275,Jonathan Grimes,RB,3000,Hou@Jax 01:00PM ET,7.5,Hou,,0.8,,0.6,3.03,2.37,2.7782,
276,Frankie Hammond Jr.,WR,3000,KC@Min 01:00PM ET,0.0,KC,,,,,,,,
277,Jaron Brown,WR,3000,Ari@Pit 01:00PM ET,2.96,Ari,,,5.07,,,4.16,1.16,
278,Chris Givens,WR,3000,Bal@SF 04:25PM ET,1.025,Bal,,7.4,4.38,6.7,6.69,0.57,,3.8
279,Keshawn Martin,WR,3000,NE@Ind 08:30PM ET,8.3,NE,,,,,6.94,8.61,,4.9
280,Myles White,WR,3000,NYG@Phi 08:30PM ET,0.0,NYG,,,,,,,,
281,B.J. Daniels,WR,3000,Car@Sea 04:05PM ET,1.1,Sea,,,,,,,,
282,Jordan Todman,RB,3000,Ari@Pit 01:00PM ET,0.22,Pit,,,,,,,,
283,Jarius Wright,WR,3000,KC@Min 01:00PM ET,3.775,Min,,7.4,6.03,7.0,6.12,4.13,3.521,
284,Brandon Bolden,RB,3000,NE@Ind 08:30PM ET,0.9,NE,,2.7,,3.2,,,1.563,
