Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range
Julio Jones,WR,9300,Atl@SF 04:05PM ET,26.525,Atl,28.0,30.5,29.1,26.8,20.78,19.23,21.513,25.1318571429,30.5,19.23,11.27,0.4484348266
Odell Beckham Jr.,WR,8800,NYG@TB 04:05PM ET,20.838,NYG,21.0,32.1,18.94,28.8,20.15,19.2,20.244,22.9191428571,32.1,18.94,13.16,0.574192502836
Tom Brady,QB,8500,Was@NE 01:00PM ET,29.057,NE,27.8,27.78,29.97,27.78,22.592,19.206,28.4122,26.2200285714,29.97,19.206,10.764,0.410525868447
Julian Edelman,WR,8200,Was@NE 01:00PM ET,21.671,NE,21.5,20.0,20.64,19.1,17.33,15.51,21.028,19.3011428571,21.5,15.51,5.99,0.310344317139
Antonio Brown,WR,8100,Oak@Pit 01:00PM ET,19.55,Pit,27.0,32.6,20.13,29.9,26.06,15.76,26.1744,25.3749142857,32.6,15.76,16.84,0.663647561934
Rob Gronkowski,TE,8000,Was@NE 01:00PM ET,22.657,NE,19.5,23.8,21.29,20.9,16.18,14.52,17.457,19.0924285714,23.8,14.52,9.28,0.486056551962
Devonta Freeman,RB,8000,Atl@SF 04:05PM ET,27.275,Atl,28.0,22.2,19.43,22.5,29.31,21.86,23.395,23.8135714286,29.31,19.43,9.88,0.41488946879
Dez Bryant,WR,7900,Phi@Dal 08:30PM ET,6.5,Dal,18.0,31.2,12.2,27.1,14.77,15.92,16.2066,19.3423714286,31.2,12.2,19.0,0.982299407814
Le'Veon Bell,RB,7800,Oak@Pit 01:00PM ET,20.033,Pit,,,,,,,,,,,,
Keenan Allen,WR,7700,Chi@SD 08:30PM ET,21.438,SD,,,,,,,,,,,,
Brandon Marshall,WR,7600,Jax@NYJ 01:00PM ET,22.229,NYJ,22.0,20.2,13.52,19.1,17.04,17.29,19.288,18.3482857143,22.0,13.52,8.48,0.462168517106
A.J. Green,WR,7600,Cle@Cin 08:25PM ET,20.129,Cin,21.5,31.0,18.19,27.1,17.55,14.34,20.529,21.4584285714,31.0,14.34,16.66,0.776384903701
Demaryius Thomas,WR,7500,Den@Ind 04:25PM ET,19.929,Den,22.0,29.4,19.15,26.2,20.67,17.18,18.61,21.8871428571,29.4,17.18,12.22,0.558318647608
Aaron Rodgers,QB,7400,GB@Car 01:00PM ET,20.546,GB,20.0,29.1,15.69,29.1,20.898,15.45,21.0494,21.6124857143,29.1,15.45,13.65,0.631579364838
Adrian Peterson,RB,7300,StL@Min 01:00PM ET,16.429,Min,21.0,22.5,14.18,24.7,13.99,16.78,14.963,18.3018571429,24.7,13.99,10.71,0.58518651503
Emmanuel Sanders,WR,7300,Den@Ind 04:25PM ET,16.986,Den,17.5,23.5,16.5,20.9,17.73,15.84,16.2,18.31,23.5,15.84,7.66,0.418350628072
Drew Brees,QB,7200,Ten@NO 01:00PM ET,23.149,NO,23.4,26.86,23.48,27.86,19.702,17.224,23.6084,23.1620571429,27.86,17.224,10.636,0.459199281584
Matt Ryan,QB,7100,Atl@SF 04:05PM ET,17.883,Atl,19.7,22.86,21.49,23.86,18.26,24.612,24.0656,22.1210857143,24.612,18.26,6.352,0.287146846319
Andrew Luck,QB,7000,Den@Ind 04:25PM ET,21.393,Ind,18.3,19.44,16.12,20.44,18.934,16.88,15.6148,17.9612571429,20.44,15.6148,4.8252,0.268644892817
Eli Manning,QB,6900,NYG@TB 04:05PM ET,19.855,NYG,18.7,17.34,18.46,18.34,19.078,23.94,19.7394,19.3710571429,23.94,17.34,6.6,0.340714497476
Philip Rivers,QB,6900,Chi@SD 08:30PM ET,24.415,SD,27.8,19.12,22.73,20.12,24.258,23.922,24.9108,23.2658285714,27.8,19.12,8.68,0.373079341376
Cam Newton,QB,6900,GB@Car 01:00PM ET,21.503,Car,21.1,18.38,19.22,19.38,20.422,16.938,20.3452,19.3978857143,21.1,16.938,4.162,0.21455946598
T.Y. Hilton,WR,6900,Den@Ind 04:25PM ET,15.138,Ind,5.0,18.7,5.97,18.2,,12.71,14.592,12.5286666667,18.7,5.0,13.7,1.09349225776
Todd Gurley,RB,6900,StL@Min 01:00PM ET,20.86,StL,23.5,17.6,14.49,17.1,16.01,15.37,18.211,17.4687142857,23.5,14.49,9.01,0.515779229807
Matt Forte,RB,6800,Chi@SD 08:30PM ET,17.671,Chi,,,,,,,,,,,,
Randall Cobb,WR,6800,GB@Car 01:00PM ET,14.7,GB,16.0,24.9,14.12,22.8,18.76,13.01,14.704,17.7562857143,24.9,13.01,11.89,0.669622025198
Mike Evans,WR,6800,NYG@TB 04:05PM ET,12.433,TB,21.0,25.0,15.02,22.5,16.83,19.56,14.758,19.2382857143,25.0,14.758,10.242,0.53237591707
Alshon Jeffery,WR,6700,Chi@SD 08:30PM ET,25.033,Chi,26.0,21.0,17.5,19.6,17.61,19.34,18.146,19.8851428571,26.0,17.5,8.5,0.42745481192
Amari Cooper,WR,6700,Oak@Pit 01:00PM ET,17.271,Oak,20.5,29.2,14.18,27.1,13.99,13.08,15.231,19.0401428571,29.2,13.08,16.12,0.846632303179
Tony Romo,QB,6600,Phi@Dal 08:30PM ET,17.57,Dal,,,,,,,,,,,,
Ben Roethlisberger,QB,6600,Oak@Pit 01:00PM ET,18.465,Pit,19.7,18.68,17.64,19.68,23.16,22.414,20.6694,20.2776285714,23.16,17.64,5.52,0.272221181119
Greg Olsen,TE,6500,GB@Car 01:00PM ET,16.4,Car,20.0,18.6,13.48,17.3,15.16,9.29,13.107,15.2767142857,20.0,9.29,10.71,0.701066983364
Mark Ingram,RB,6500,Ten@NO 01:00PM ET,18.175,NO,24.5,12.9,16.98,14.2,16.71,19.89,17.284,17.4948571429,24.5,12.9,11.6,0.663051998955
DeMarco Murray,RB,6400,Phi@Dal 08:30PM ET,15.65,Phi,20.0,15.0,15.57,15.6,16.27,11.65,14.0312,15.4458857143,20.0,11.65,8.35,0.540597033699
Dion Lewis,RB,6400,Was@NE 01:00PM ET,18.65,NE,21.0,16.4,18.86,18.7,15.21,13.69,15.3394,17.0284857143,21.0,13.69,7.31,0.429280684299
Jordan Matthews,WR,6400,Phi@Dal 08:30PM ET,12.4,Phi,15.5,12.2,12.87,11.1,12.74,13.3,12.7546,12.9235142857,15.5,11.1,4.4,0.340464667947
Allen Robinson,WR,6400,Jax@NYJ 01:00PM ET,18.8,Jax,9.5,18.0,13.2,17.0,11.87,12.48,14.514,13.7948571429,18.0,9.5,8.5,0.616171658175
Peyton Manning,QB,6300,Den@Ind 04:25PM ET,13.88,Den,18.0,17.26,17.1,18.26,21.016,18.598,18.5016,18.3908,21.016,17.1,3.916,0.212932553233
Jarvis Landry,WR,6300,Mia@Buf 01:00PM ET,17.9,Mia,20.0,16.8,11.67,16.5,15.02,12.99,17.659,15.8055714286,20.0,11.67,8.33,0.527029347698
Andy Dalton,QB,6200,Cle@Cin 08:25PM ET,23.054,Cin,19.0,17.32,19.99,18.32,19.204,15.93,21.1398,18.7005428571,21.1398,15.93,5.2098,0.278590843047
Eddie Lacy,RB,6100,GB@Car 01:00PM ET,8.714,GB,7.0,20.7,13.14,20.0,12.89,13.08,15.3248,14.5906857143,20.7,7.0,13.7,0.938955184717
Latavius Murray,RB,6000,Oak@Pit 01:00PM ET,15.271,Oak,18.0,13.1,12.77,12.3,11.77,14.54,13.749,13.747,18.0,11.77,6.23,0.453189786863
Sam Bradford,QB,5900,Phi@Dal 08:30PM ET,14.977,Phi,17.1,9.36,17.34,10.36,15.41,18.3,15.3956,14.7522285714,18.3,9.36,8.94,0.606010133094
Chris Ivory,RB,5900,Jax@NYJ 01:00PM ET,18.1,NYJ,16.0,16.1,13.2,15.9,16.22,16.64,17.018,15.8682857143,17.018,13.2,3.818,0.240605700499
Brandin Cooks,WR,5800,Ten@NO 01:00PM ET,14.363,NO,21.5,18.8,14.51,18.8,13.08,12.07,10.044,15.5434285714,21.5,10.044,11.456,0.737031726775
DeSean Jackson,WR,5700,Was@NE 01:00PM ET,0.0,Was,18.0,8.7,7.05,7.4,12.69,13.38,14.4968,11.6738285714,18.0,7.05,10.95,0.937995614121
Ryan Tannehill,QB,5700,Mia@Buf 01:00PM ET,18.774,Mia,18.6,18.12,13.72,19.12,17.098,16.352,12.4308,16.4915428571,19.12,12.4308,6.6892,0.405613959709
Doug Martin,RB,5700,NYG@TB 04:05PM ET,17.4,TB,18.0,13.6,13.63,13.7,15.51,14.43,16.139,15.0012857143,18.0,13.6,4.4,0.293308192631
James Jones,WR,5600,GB@Car 01:00PM ET,14.8,GB,15.0,18.8,10.62,17.4,11.06,12.63,10.403,13.7018571429,18.8,10.403,8.397,0.612836633199
DeAngelo Williams,RB,5500,Oak@Pit 01:00PM ET,8.588,Pit,18.5,7.2,13.1,7.6,16.14,14.43,16.281,13.3215714286,18.5,7.2,11.3,0.848248276158
LeSean McCoy,RB,5500,Mia@Buf 01:00PM ET,13.34,Buf,17.0,14.5,13.45,14.3,15.6,15.09,16.308,15.1782857143,17.0,13.45,3.55,0.233886755515
Derek Carr,QB,5500,Oak@Pit 01:00PM ET,19.817,Oak,18.1,17.86,15.76,18.86,16.942,22.422,18.626,18.3671428571,22.422,15.76,6.662,0.362712919032
Martavis Bryant,WR,5500,Oak@Pit 01:00PM ET,19.733,Pit,18.5,18.9,12.1,17.6,13.75,13.38,10.944,15.0248571429,18.9,10.944,7.956,0.529522505562
Tyler Eifert,TE,5400,Cle@Cin 08:25PM ET,15.586,Cin,16.0,20.8,15.01,19.4,10.37,9.84,13.664,15.012,20.8,9.84,10.96,0.730082600586
Blake Bortles,QB,5400,Jax@NYJ 01:00PM ET,20.726,Jax,18.9,18.2,13.76,19.2,16.544,16.716,13.6738,16.7134,19.2,13.6738,5.5262,0.33064487178
Donte Moncrief,WR,5400,Den@Ind 04:25PM ET,13.613,Ind,15.0,15.3,9.78,14.8,13.05,10.65,11.605,12.8835714286,15.3,9.78,5.52,0.428452625159
Eric Decker,WR,5300,Jax@NYJ 01:00PM ET,16.383,NYJ,19.0,21.6,14.18,19.8,14.0,13.07,14.058,16.5297142857,21.6,13.07,8.53,0.516040377502
Tyrod Taylor,QB,5300,Mia@Buf 01:00PM ET,21.596,Buf,16.5,12.16,20.52,13.16,17.886,17.788,18.3774,16.6273428571,20.52,12.16,8.36,0.502786288334
Allen Hurns,WR,5300,Jax@NYJ 01:00PM ET,16.757,Jax,18.0,18.6,10.64,17.3,13.37,12.89,10.091,14.413,18.6,10.091,8.509,0.590369805037
Marcus Mariota,QB,5300,Ten@NO 01:00PM ET,17.352,Ten,17.6,19.34,14.91,20.34,18.13,16.138,17.9652,17.7747428571,20.34,14.91,5.43,0.305489651448
Stefon Diggs,WR,5300,StL@Min 01:00PM ET,21.45,Min,22.0,20.6,12.98,19.3,12.7,10.95,14.435,16.1378571429,22.0,10.95,11.05,0.684725357412
Jay Cutler,QB,5200,Chi@SD 08:30PM ET,17.497,Chi,19.0,16.98,16.94,17.98,15.756,19.88,17.1092,17.6636,19.88,15.756,4.124,0.233474489911
Ryan Fitzpatrick,QB,5200,Jax@NYJ 01:00PM ET,16.446,NYJ,19.0,7.16,18.52,8.16,17.574,17.58,17.784,15.1111428571,19.0,7.16,11.84,0.783527765698
Jason Witten,TE,5200,Phi@Dal 08:30PM ET,12.143,Dal,8.5,18.0,10.12,17.0,9.82,13.92,9.727,12.441,18.0,8.5,9.5,0.76360421188
Travis Benjamin,WR,5200,Cle@Cin 08:25PM ET,16.513,Cle,13.5,17.0,8.54,15.6,12.1,11.22,13.997,13.1367142857,17.0,8.54,8.46,0.643996650608
Jeremy Hill,RB,5200,Cle@Cin 08:25PM ET,10.386,Cin,14.5,13.1,14.39,12.4,15.0,12.72,13.277,13.6267142857,15.0,12.4,2.6,0.190801681571
Jameis Winston,QB,5200,NYG@TB 04:05PM ET,17.289,TB,14.3,14.48,15.89,16.48,16.91,19.964,18.1308,16.5935428571,19.964,14.3,5.664,0.341337594314
Nick Foles,QB,5100,StL@Min 01:00PM ET,11.886,StL,11.4,18.34,11.84,19.34,11.44,14.664,10.9864,14.0014857143,19.34,10.9864,8.3536,0.596622399256
Kirk Cousins,QB,5100,Was@NE 01:00PM ET,16.883,Was,17.6,10.28,12.58,11.28,15.382,14.384,15.7376,13.8919428571,17.6,10.28,7.32,0.52692413691
Kendall Wright,WR,5100,Ten@NO 01:00PM ET,12.2,Ten,,,,,,,,,,,,
EJ Manuel,QB,5100,Mia@Buf 01:00PM ET,10.56,Buf,,,,,,,,,,,,
Zach Mettenberger,QB,5100,Ten@NO 01:00PM ET,4.185,Ten,,,,,,,,,,,,
Geno Smith,QB,5100,Jax@NYJ 01:00PM ET,21.0,NYJ,,12.48,,13.48,,,1.2352,9.06506666667,13.48,1.2352,12.2448,1.35076778255
Teddy Bridgewater,QB,5100,StL@Min 01:00PM ET,13.52,Min,13.2,17.3,14.72,18.3,12.686,17.104,12.057,15.0524285714,18.3,12.057,6.243,0.414750348781
Matt Hasselbeck,QB,5000,Den@Ind 04:25PM ET,15.8,Ind,,,,,,,,,,,,
Mike Vick,QB,5000,Oak@Pit 01:00PM ET,6.348,Pit,,,,,,,,,,,,
Josh McCown,QB,5000,Cle@Cin 08:25PM ET,19.64,Cle,,,,,,,,,,,,
Matt Cassel,QB,5000,Phi@Dal 08:30PM ET,6.22,Dal,11.6,16.72,12.09,15.72,13.312,16.952,10.4206,13.8306571429,16.952,10.4206,6.5314,0.472240757076
Charlie Whitehurst,QB,5000,Ten@NO 01:00PM ET,0.0,Ten,,,,,,,,,,,,
Derek Anderson,QB,5000,GB@Car 01:00PM ET,0.0,Car,,,,,,,,,,,,
Kellen Clemens,QB,5000,Chi@SD 08:30PM ET,6.52,SD,,,,,,,,,,,,
Shaun Hill,QB,5000,StL@Min 01:00PM ET,0.0,Min,,,,,,,,,,,,
Matt Moore,QB,5000,Mia@Buf 01:00PM ET,0.36,Mia,,,,,,,,,,,,
Luke McCown,QB,5000,Ten@NO 01:00PM ET,1.925,NO,,,,,,,,,,,,
Chad Henne,QB,5000,Jax@NYJ 01:00PM ET,0.0,Jax,,,,,,,,,,,,
Josh Johnson,QB,5000,Mia@Buf 01:00PM ET,0.0,Buf,,,,,,,,,,,,
Joe Webb,QB,5000,GB@Car 01:00PM ET,0.0,Car,,,,,,,,,,,,
Mark Sanchez,QB,5000,Phi@Dal 08:30PM ET,0.0,Phi,,,,,,,,,,,,
Colt McCoy,QB,5000,Was@NE 01:00PM ET,0.0,Was,,1.66,,1.66,,,,1.66,1.66,1.66,0.0,0.0
Colin Kaepernick,QB,5000,Atl@SF 04:05PM ET,15.275,SF,,,,,,,1.7962,1.7962,1.7962,1.7962,0.0,0.0
Scott Tolzien,QB,5000,GB@Car 01:00PM ET,0.0,GB,,,,,,,,,,,,
Thaddeus Lewis,QB,5000,Phi@Dal 08:30PM ET,0.0,Phi,,,,,,,,,,,,
Case Keenum,QB,5000,StL@Min 01:00PM ET,0.0,StL,,,,,,,1.0194,1.0194,1.0194,1.0194,0.0,0.0
Jimmy Clausen,QB,5000,Chi@SD 08:30PM ET,3.58,Chi,,,,,,,,,,,,
Kellen Moore,QB,5000,Phi@Dal 08:30PM ET,0.0,Dal,,,,,,,,,,,,
Brandon Weeden,QB,5000,Phi@Dal 08:30PM ET,9.63,Dal,,,,,,,,,,,,
Pierre Garcon,WR,5000,Was@NE 01:00PM ET,12.857,Was,10.5,17.4,11.91,16.7,13.07,10.65,9.744,12.8534285714,17.4,9.744,7.656,0.59563874008
Austin Davis,QB,5000,Cle@Cin 08:25PM ET,0.0,Cle,,,,,,,,,,,,
Landry Jones,QB,5000,Oak@Pit 01:00PM ET,11.89,Pit,,,,,,,,,,,,
Robert Griffin III,QB,5000,Was@NE 01:00PM ET,0.0,Was,,,,,,,,,,,,
Blaine Gabbert,QB,5000,Atl@SF 04:05PM ET,0.0,SF,11.6,18.48,13.11,20.48,14.018,13.562,11.4896,14.6770857143,20.48,11.4896,8.9904,0.612546671391
Sean Renfree,QB,5000,Atl@SF 04:05PM ET,-0.4,Atl,,,,,,,,,,,,
Mike Glennon,QB,5000,NYG@TB 04:05PM ET,0.0,TB,,,,,,,,,,,,
Ryan Nassib,QB,5000,NYG@TB 04:05PM ET,0.0,NYG,,,,,,,,,,,,
Ryan Griffin,QB,5000,NYG@TB 04:05PM ET,0.0,TB,,,,,,,,,,,,
Matt McGloin,QB,5000,Oak@Pit 01:00PM ET,11.68,Oak,,,,,,,,,,,,
Brock Osweiler,QB,5000,Den@Ind 04:25PM ET,0.0,Den,,,,,,,,,,,,
Bryce Petty,QB,5000,Jax@NYJ 01:00PM ET,0.0,NYJ,,,,,,,,,,,,
AJ McCarron,QB,5000,Cle@Cin 08:25PM ET,0.0,Cin,,,,,,,,,,,,
Lamar Miller,RB,5000,Mia@Buf 01:00PM ET,15.8,Mia,19.5,13.4,13.5,14.3,14.13,15.89,16.276,15.2851428571,19.5,13.4,6.1,0.399080339452
Garrett Grayson,QB,5000,Ten@NO 01:00PM ET,0.0,NO,,,,,,,,,,,,
Trevor Siemian,QB,5000,Den@Ind 04:25PM ET,0.0,Den,,,,,,,,,,,,
Jimmy Garoppolo,QB,5000,Was@NE 01:00PM ET,-0.133,NE,,,,,,,,,,,,
Tyler Murphy,QB,5000,Oak@Pit 01:00PM ET,1.3,Pit,,,,,,,,,,,,
Sean Mannion,QB,5000,StL@Min 01:00PM ET,0.0,StL,,,,,,,,,,,,
Brett Hundley,QB,5000,GB@Car 01:00PM ET,0.0,GB,,,,,,,,,,,,
Johnny Manziel,QB,5000,Cle@Cin 08:25PM ET,7.23,Cle,14.2,,12.83,,16.932,12.258,16.0678,14.45756,16.932,12.258,4.674,0.323291067096
Taylor Heinicke,QB,5000,StL@Min 01:00PM ET,0.0,Min,,,,,,,,,,,,
Sammy Watkins,WR,5000,Mia@Buf 01:00PM ET,9.425,Buf,10.5,15.8,9.34,15.0,12.92,13.12,14.79,13.0671428571,15.8,9.34,6.46,0.494369738712
Martellus Bennett,TE,4900,Chi@SD 08:30PM ET,11.629,Chi,18.0,19.2,12.41,18.6,12.19,11.53,11.671,14.8001428571,19.2,11.53,7.67,0.518238240944
Michael Crabtree,WR,4900,Oak@Pit 01:00PM ET,16.043,Oak,18.5,16.6,12.01,15.3,15.74,15.16,12.009,15.0455714286,18.5,12.009,6.491,0.431422630295
Frank Gore,RB,4800,Den@Ind 04:25PM ET,12.275,Ind,10.0,11.9,10.25,12.0,13.18,11.52,12.579,11.6327142857,13.18,10.0,3.18,0.273366982279
Gary Barnidge,TE,4800,Cle@Cin 08:25PM ET,17.713,Cle,18.0,19.0,10.8,19.5,12.21,10.06,15.007,14.9395714286,19.5,10.06,9.44,0.631878902627
Danny Woodhead,RB,4800,Chi@SD 08:30PM ET,15.875,SD,13.0,20.1,14.58,18.3,13.94,13.4,13.105,15.2035714286,20.1,13.0,7.1,0.466995536763
LeGarrette Blount,RB,4800,Was@NE 01:00PM ET,11.25,NE,13.0,11.3,14.57,12.1,12.43,12.88,11.829,12.587,14.57,11.3,3.27,0.259791848733
Tavon Austin,WR,4800,StL@Min 01:00PM ET,15.371,StL,16.0,7.9,7.47,8.2,10.54,8.85,11.5096,10.0670857143,16.0,7.47,8.53,0.847315721957
Giovani Bernard,RB,4800,Cle@Cin 08:25PM ET,13.286,Cin,9.0,17.0,12.56,17.2,13.15,17.42,13.5,14.2614285714,17.42,9.0,8.42,0.590403686267
Willie Snead,WR,4800,Ten@NO 01:00PM ET,13.513,NO,19.0,12.4,12.85,10.2,11.74,9.29,11.123,12.3718571429,19.0,9.29,9.71,0.784845790562
T.J. Yeldon,RB,4800,Jax@NYJ 01:00PM ET,13.8,Jax,10.5,15.4,11.12,15.9,10.91,11.48,11.989,12.4712857143,15.9,10.5,5.4,0.432994650569
Vincent Jackson,WR,4700,NYG@TB 04:05PM ET,11.65,TB,,,,,,,,,,,,
Antonio Gates,TE,4700,Chi@SD 08:30PM ET,19.433,SD,20.0,14.4,13.79,14.2,13.77,13.68,16.424,15.1805714286,20.0,13.68,6.32,0.416321614093
Ronnie Hillman,RB,4600,Den@Ind 04:25PM ET,10.929,Den,16.0,15.9,12.54,15.5,13.07,15.3,11.636,14.278,16.0,11.636,4.364,0.305645048326
Jordan Reed,TE,4500,Was@NE 01:00PM ET,17.4,Was,17.0,16.8,12.06,16.4,12.83,10.68,11.349,13.8741428571,17.0,10.68,6.32,0.455523635952
Rishard Matthews,WR,4500,Mia@Buf 01:00PM ET,16.143,Mia,18.5,15.0,8.9,14.5,11.94,11.82,9.184,12.8348571429,18.5,8.9,9.6,0.747963136103
Shane Vereen,RB,4400,NYG@TB 04:05PM ET,10.75,NYG,10.0,14.0,11.09,14.2,9.41,8.46,7.109,10.6098571429,14.2,7.109,7.091,0.668340761287
Darren McFadden,RB,4300,Phi@Dal 08:30PM ET,12.229,Dal,19.0,14.1,11.55,13.4,16.94,19.04,15.896,15.7037142857,19.04,11.55,7.49,0.47695722577
Jonathan Stewart,RB,4300,GB@Car 01:00PM ET,11.514,Car,15.0,8.9,11.44,9.6,12.96,15.95,15.169,12.717,15.95,8.9,7.05,0.554376032083
Marvin Jones,WR,4300,Cle@Cin 08:25PM ET,11.2,Cin,8.0,17.6,10.41,15.8,10.39,9.72,8.682,11.5145714286,17.6,8.0,9.6,0.833726210268
Anquan Boldin,WR,4200,Atl@SF 04:05PM ET,12.314,SF,,17.8,,16.9,,14.97,11.95,15.405,17.8,11.95,5.85,0.379746835443
Delanie Walker,TE,4200,Ten@NO 01:00PM ET,12.85,Ten,18.5,19.2,8.22,17.6,12.11,9.63,11.98,13.8914285714,19.2,8.22,10.98,0.790415466886
